,Tmin,DateTime
2016-06-01,59.0,2016-06-01
2016-06-02,60.08,2016-06-02
2016-06-03,57.02,2016-06-03
2016-06-04,57.92,2016-06-04
2016-06-05,57.92,2016-06-05
2016-06-06,55.94,2016-06-06
2016-06-07,57.02,2016-06-07
2016-06-08,59.0,2016-06-08
2016-06-09,59.0,2016-06-09
2016-06-10,60.08,2016-06-10
2016-06-11,60.08,2016-06-11
2016-06-12,62.06,2016-06-12
2016-06-13,60.98,2016-06-13
2016-06-14,59.0,2016-06-14
2016-06-15,59.0,2016-06-15
2016-06-16,60.98,2016-06-16
2016-06-17,62.96,2016-06-17
2016-06-18,60.08,2016-06-18
2016-06-19,60.98,2016-06-19
2016-06-20,64.04,2016-06-20
2016-06-21,66.92,2016-06-21
2016-06-22,,2016-06-22
2016-06-23,62.96,2016-06-23
2016-06-24,64.04,2016-06-24
2016-06-25,62.96,2016-06-25
2016-06-26,64.94,2016-06-26
2016-06-27,64.94,2016-06-27
2016-06-28,64.94,2016-06-28
2016-06-29,66.02,2016-06-29
2016-06-30,64.94,2016-06-30
2016-07-01,66.02,2016-07-01
2016-07-02,66.02,2016-07-02
2016-07-03,64.04,2016-07-03
2016-07-04,64.04,2016-07-04
2016-07-05,64.04,2016-07-05
2016-07-06,64.04,2016-07-06
2016-07-07,64.04,2016-07-07
2016-07-08,64.04,2016-07-08
2016-07-09,64.94,2016-07-09
2016-07-10,62.96,2016-07-10
2016-07-11,66.02,2016-07-11
2016-07-12,64.04,2016-07-12
2016-07-13,66.02,2016-07-13
2016-07-14,64.94,2016-07-14
2016-07-15,64.04,2016-07-15
2016-07-16,62.96,2016-07-16
2016-07-17,64.04,2016-07-17
2016-07-18,64.04,2016-07-18
2016-07-19,66.02,2016-07-19
2016-07-20,64.94,2016-07-20
2016-07-21,64.94,2016-07-21
2016-07-22,68.0,2016-07-22
2016-07-23,68.0,2016-07-23
2016-07-24,69.98,2016-07-24
2016-07-25,66.92,2016-07-25
2016-07-26,68.0,2016-07-26
2016-07-27,66.92,2016-07-27
2016-07-28,68.0,2016-07-28
2016-07-29,69.08,2016-07-29
2016-07-30,69.08,2016-07-30
2016-07-31,69.08,2016-07-31
2016-08-01,69.08,2016-08-01
2016-08-02,66.92,2016-08-02
2016-08-03,66.92,2016-08-03
2016-08-04,66.92,2016-08-04
2016-08-05,66.92,2016-08-05
2016-08-06,66.02,2016-08-06
2016-08-07,66.02,2016-08-07
2016-08-08,66.02,2016-08-08
2016-08-09,66.02,2016-08-09
2016-08-10,66.92,2016-08-10
2016-08-11,66.02,2016-08-11
2016-08-12,66.02,2016-08-12
2016-08-13,64.94,2016-08-13
2016-08-14,66.92,2016-08-14
2016-08-15,68.0,2016-08-15
2016-08-16,64.94,2016-08-16
2016-08-17,60.98,2016-08-17
2016-08-18,62.06,2016-08-18
2016-08-19,60.98,2016-08-19
2016-08-20,62.06,2016-08-20
2016-08-21,62.96,2016-08-21
2016-08-22,62.96,2016-08-22
2016-08-23,62.96,2016-08-23
2016-08-24,64.04,2016-08-24
2016-08-25,64.04,2016-08-25
2016-08-26,64.04,2016-08-26
2016-08-27,64.94,2016-08-27
2016-08-28,64.94,2016-08-28
2016-08-29,62.96,2016-08-29
2016-08-30,66.02,2016-08-30
2016-08-31,66.02,2016-08-31
