,Tmax,DateTime
2012-06-01,69.08,2012-06-01
2012-06-02,71.96,2012-06-02
2012-06-03,69.08,2012-06-03
2012-06-04,69.98,2012-06-04
2012-06-05,66.92,2012-06-05
2012-06-06,71.06,2012-06-06
2012-06-07,71.96,2012-06-07
2012-06-08,73.94,2012-06-08
2012-06-09,73.94,2012-06-09
2012-06-10,69.08,2012-06-10
2012-06-11,71.06,2012-06-11
2012-06-12,69.08,2012-06-12
2012-06-13,66.02,2012-06-13
2012-06-14,69.08,2012-06-14
2012-06-15,69.08,2012-06-15
2012-06-16,69.98,2012-06-16
2012-06-17,69.08,2012-06-17
2012-06-18,69.08,2012-06-18
2012-06-19,66.02,2012-06-19
2012-06-20,69.08,2012-06-20
2012-06-21,69.08,2012-06-21
2012-06-22,68.0,2012-06-22
2012-06-23,69.98,2012-06-23
2012-06-24,69.98,2012-06-24
2012-06-25,71.06,2012-06-25
2012-06-26,71.06,2012-06-26
2012-06-27,71.96,2012-06-27
2012-06-28,73.04,2012-06-28
2012-06-29,69.98,2012-06-29
2012-06-30,69.98,2012-06-30
2012-07-01,71.06,2012-07-01
2012-07-02,71.06,2012-07-02
2012-07-03,71.96,2012-07-03
2012-07-04,71.06,2012-07-04
2012-07-05,69.98,2012-07-05
2012-07-06,69.98,2012-07-06
2012-07-07,69.08,2012-07-07
2012-07-08,66.92,2012-07-08
2012-07-09,68.0,2012-07-09
2012-07-10,71.96,2012-07-10
2012-07-11,73.04,2012-07-11
2012-07-12,,2012-07-12
2012-07-13,71.96,2012-07-13
2012-07-14,75.92,2012-07-14
2012-07-15,71.96,2012-07-15
2012-07-16,71.06,2012-07-16
2012-07-17,71.06,2012-07-17
2012-07-18,71.96,2012-07-18
2012-07-19,73.04,2012-07-19
2012-07-20,86.0,2012-07-20
2012-07-21,75.92,2012-07-21
2012-07-22,73.94,2012-07-22
2012-07-23,69.98,2012-07-23
2012-07-24,69.98,2012-07-24
2012-07-25,69.98,2012-07-25
2012-07-26,69.98,2012-07-26
2012-07-27,69.98,2012-07-27
2012-07-28,,2012-07-28
2012-07-29,69.98,2012-07-29
2012-07-30,71.06,2012-07-30
2012-07-31,71.06,2012-07-31
2012-08-01,71.96,2012-08-01
2012-08-02,71.96,2012-08-02
2012-08-03,71.96,2012-08-03
2012-08-04,73.04,2012-08-04
2012-08-05,73.94,2012-08-05
2012-08-06,71.06,2012-08-06
2012-08-07,75.02,2012-08-07
2012-08-08,82.94,2012-08-08
2012-08-09,80.06,2012-08-09
2012-08-10,78.98,2012-08-10
2012-08-11,78.98,2012-08-11
2012-08-12,82.04,2012-08-12
2012-08-13,80.06,2012-08-13
2012-08-14,80.06,2012-08-14
2012-08-15,78.08,2012-08-15
2012-08-16,71.96,2012-08-16
2012-08-17,77.0,2012-08-17
2012-08-18,84.02,2012-08-18
2012-08-19,84.02,2012-08-19
2012-08-20,82.94,2012-08-20
2012-08-21,82.94,2012-08-21
2012-08-22,80.06,2012-08-22
2012-08-23,78.08,2012-08-23
2012-08-24,73.94,2012-08-24
2012-08-25,75.92,2012-08-25
2012-08-26,73.04,2012-08-26
2012-08-27,73.94,2012-08-27
2012-08-28,78.98,2012-08-28
2012-08-29,78.98,2012-08-29
2012-08-30,84.92,2012-08-30
2012-08-31,80.96,2012-08-31
